REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,59035,2875,415,1067,255,23503,37820,0,0,0,458,1120,531,390,6714,2396,914,0,1069,0,0,0,2968,0,568,0,                                                                                                    
R003,CYPRESS HILLS                 ,2682,147,16,41,0,2333,1325,0,0,0,3,11,67,5,107,35,31,0,30,0,0,0,544,0,45,0,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,6865,433,61,138,1,4839,3680,0,0,0,0,57,245,2,315,56,75,0,51,0,0,0,2420,0,53,0,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,7614,562,67,186,2,5007,4155,0,0,0,9,66,257,4,267,78,74,0,71,0,0,0,1249,0,100,0,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,7835,477,57,169,0,6838,4732,0,0,0,6,77,190,11,333,81,66,0,64,0,0,0,1542,0,113,0,                                                                                                    
R007,104TH STREET                  ,6704,378,29,98,1,4437,3091,0,0,0,4,61,134,1,188,47,55,0,62,0,0,0,1320,0,106,0,                                                                                                    
R009,121ST STREET                  ,4494,325,24,112,0,3409,2231,0,0,0,0,48,140,0,188,72,37,0,51,0,0,0,647,0,44,0,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,77326,4778,440,1100,140,39119,48541,0,0,0,595,913,1004,100,5353,2238,1281,0,2398,0,0,0,5835,0,238,0,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,244437,10346,656,1723,94,44074,71517,0,0,0,382,3168,4212,84,7173,8133,2165,0,3304,0,0,0,2606,0,214,0,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,197972,8203,663,1512,2989,39335,68185,0,0,0,346,2498,2574,3992,7478,8896,2250,0,3261,0,0,0,2567,0,339,0,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,54757,2475,195,757,703,17271,31917,0,0,0,211,912,451,1321,3993,2528,907,0,1208,0,0,0,885,0,157,0,                                                                                                    
R014,FULTON STREET                 ,148857,4765,442,1037,871,45243,85404,0,0,0,639,2761,797,1461,13744,5266,2619,0,2310,0,0,0,5552,0,1582,0,                                                                                                    
R015,FIFTH AVENUE                  ,78424,3169,146,488,804,15216,33926,0,0,0,227,2313,382,1021,5762,4840,1197,0,1307,0,0,0,509,0,99,0,                                                                                                    
R016,LEXINGTON AVENUE              ,18340,983,46,171,68,5193,11160,0,0,0,82,412,96,92,1613,855,363,0,197,0,0,0,230,0,40,0,                                                                                                    
R017,LEXINGTON AVENUE              ,93925,5627,334,967,564,23719,55282,0,0,0,212,2125,865,930,7704,4827,1658,0,1484,0,0,0,3377,0,70,0,                                                                                                    
