UNIT,STATION,REMOTE, STATION,Station ID
R095,ASTORIA DITMARS,R095,DITMARS BLVD & 31ST STREET    ,1
R094,ASTORIA BLVD,R094,ASTORIA BLVD & 31ST STREET    ,2
R093,30 AV,R093,30TH AVENUE & 31ST STREET     ,3
R092,BROADWAY,R092,BROADWAY & 31ST STREET        ,4
R091,36 AV,R091,36TH AVENUE & 31ST STREET     ,5
R090,39 AV,R090,39TH AVENUE & 31ST STREET     ,6
R051,59 ST,R051,59TH STREET & LEXINGTON AVE   ,7
R050,59 ST,R050,59TH STREET & LEXINGTON AVE   ,7
R079,5 AV/59 ST,R079,FIFTH AVENUE & 60TH STREET    ,8
R080,57 ST-7 AV,R080,57TH STREET & 7TH AVENUE      ,9
R081,49 ST,R081,49TH STREET & 7TH AVENUE      ,10
R032,TIMES SQ-42 ST,R032,42ND STREET/TIMES SQUARE      ,11
R033,TIMES SQ-42 ST,R033,42ND STREET/TIMES SQUARE      ,11
R022,34 ST-HERALD SQ,R022,34TH STREET & 6TH AVENUE      ,12
R023,34 ST-HERALD SQ,R023,34TH STREET & 6TH AVENUE      ,12
R082,28 ST,R082,28TH STREET & BROADWAY        ,13
R083,23 ST,R083,23RD STREET & 5TH AVENUE      ,14
R170,14 ST-UNION SQ,R170,14TH STREET-UNION SQUARE      ,15
R085,8 ST-NYU,R085,8TH STREET & BROADWAY         ,16
R086,PRINCE ST,R086,PRINCE STREET & BROADWAY      ,17
R462,CANAL ST,R462,CANAL STREET-BROADWAY         ,18
R118,CANAL ST,R118,CANAL STREET                  ,19
R087,CITY HALL,R087,CITY HALL                     ,20
R088,CORTLANDT ST,R088,CORTLANDT STREET              ,21
R227,RECTOR ST,R227,RECTOR STREET-CHURCH STREET   ,22
R001,WHITEHALL S-FRY,R001,WHITEHALL STREET              ,23
R089,JAY ST-METROTEC,R089,JAY ST-METROTECH              ,25
R127,JAY ST-METROTEC,R127,JAY ST-METROTECH              ,25
R099,DEKALB AV,R099,DEKALB AVENUE                 ,26
R057,ATL AV-BARCLAY,R057,BARCLAYS CENTER               ,27
R231,UNION ST,R231,UNION STREET-4TH AVENUE       ,28
R246,PROSPECT AV,R246,PROSPECT AVENUE-4TH AVENUE    ,30
R278,25 ST,R278,25TH STREET-4TH AVENUE        ,31
R455,25 ST,R455,25TH STREET-4TH AVENUE        ,31
R197,36 ST,R197,36TH STREET-4TH AVENUE        ,32
R232,45 ST,R232,45TH STREET-4TH AVENUE        ,33
R233,53 ST,R233,53RD STREET-4TH AVENUE        ,34
R212,59 ST,R212,59TH STREET-4TH AVENUE        ,35
R213,BAY RIDGE AV,R213,BAY RIDGE AVE-4TH AVENUE      ,36
R214,77 ST,R214,77TH STREET-4TH AVENUE        ,37
R215,86 ST,R215,86TH STREET-4TH AVENUE        ,38
R216,BAY RIDGE-95 ST,R216,BAY RIDGE - 95TH STREET       ,39
R171,7 AV,R171,7TH AVENUE-PARK PLACE         ,41
R196,PROSPECT PARK,R196,PROSPECT PARK-EMPIRE BLVD     ,42
R148,PARKSIDE AV,R148,PARKSIDE AVE-OCEAN AVE        ,43
R098,CHURCH AV,R098,CHURCH AVENUE                 ,44
R262,BEVERLEY ROAD,R262,BEVERLEY ROAD -EAST 15TH ST   ,45
R184,CORTELYOU RD,R184,CORTELYOU RD-EAST 16TH ST     ,46
R149,NEWKIRK PLAZA,R149,NEWKIRK PLAZA                 ,47
R263,AVENUE H,R263,AVENUE H-EAST 16TH STREET     ,48
R228,AVENUE J,R228,AVENUE J-EAST 16TH STREET     ,49
